Date,Open,High,Low,Close,Adj Close,Volume
2018-10-05,367.5,369.5,363.0,368.25,368.25,204815
2018-10-08,368.5,369.5,364.25,366.5,366.5,122012
2018-10-09,366.5,368.0,363.75,364.5,364.5,119567
2018-10-10,364.5,365.25,362.0,362.75,362.75,121039
2018-10-11,362.0,373.0,360.25,369.25,369.25,233116
2018-10-12,369.0,374.0,368.5,373.75,373.75,185821
2018-10-15,373.0,378.5,371.75,378.25,378.25,227938
2018-10-16,377.25,377.5,373.5,375.25,375.25,185899
2018-10-17,375.0,376.25,373.25,374.25,374.25,106446
2018-10-18,373.0,373.25,369.5,370.75,370.75,137274
2018-10-19,370.5,371.0,366.0,367.0,367.0,165329
2018-10-22,365.5,370.5,365.5,369.5,369.5,140542
2018-10-23,369.25,372.5,368.0,370.25,370.25,136626
2018-10-24,369.5,369.75,367.75,368.25,368.25,114262
2018-10-25,367.75,368.25,360.5,361.0,361.0,262813
2018-10-26,361.75,369.75,361.75,367.75,367.75,220034
2018-10-29,368.0,371.5,365.5,366.75,366.75,142746
2018-10-30,366.75,368.0,364.25,364.75,364.75,137331
2018-10-31,364.75,365.25,362.5,363.25,363.25,163231
2018-11-01,363.25,371.0,363.0,366.75,366.75,304754
2018-11-02,366.25,373.0,365.25,371.25,371.25,242629
2018-11-05,371.0,374.25,369.5,374.0,374.0,191618
2018-11-06,373.75,374.5,372.0,373.25,373.25,206076
2018-11-07,372.25,373.25,371.0,372.25,372.25,233522
2018-11-08,372.0,379.0,366.0,373.5,373.5,432338
2018-11-09,372.75,374.0,368.25,369.75,369.75,212422
2018-11-12,369.0,372.5,368.0,371.25,371.25,176017
2018-11-13,369.5,370.75,365.5,366.5,366.5,178859
2018-11-14,366.0,368.0,365.75,367.0,367.0,121770
2018-11-15,366.75,371.75,366.5,367.5,367.5,182150
2018-11-16,367.25,368.75,363.25,364.75,364.75,180968
2018-11-19,364.75,366.25,361.25,362.25,362.25,179457
2018-11-20,362.75,363.5,361.25,361.25,361.25,146930
2018-11-21,361.25,363.25,360.0,361.75,361.75,184082
2018-11-23,361.0,361.75,358.75,359.0,359.0,174044
2018-11-26,359.5,360.5,355.25,356.0,356.0,331200
2018-11-27,356.0,358.5,355.5,356.5,356.5,248125
2018-11-28,356.25,361.5,356.0,360.5,360.5,221952
2018-11-29,360.5,363.0,359.0,360.25,360.25,186618
2018-11-30,360.75,366.75,360.5,366.5,366.5,17986
2018-12-03,372.75,374.0,369.5,371.25,371.25,7579
2018-12-04,370.0,374.25,369.5,374.25,374.25,2930
2018-12-06,374.0,374.5,369.25,372.0,372.0,2299
2018-12-07,371.75,374.75,371.5,374.0,374.0,2243
2018-12-10,374.25,376.0,372.75,374.25,374.25,1655
2018-12-11,373.75,376.5,372.75,375.0,375.0,1372
2018-12-12,375.5,378.0,375.5,376.25,376.25,632
2018-12-13,375.0,377.5,374.0,375.5,375.5,229
2018-12-14,378.0,379.0,376.75,376.75,376.75,131884
2018-12-19,385.0,385.25,381.5,381.75,381.75,107244
2018-12-20,381.75,382.75,375.0,375.25,375.25,205496
2018-12-21,375.5,379.5,374.75,378.5,378.5,138729
2018-12-24,378.25,379.0,375.25,377.75,377.75,54836
2018-12-26,378.25,379.25,372.5,373.25,373.25,97146
2018-12-27,373.25,376.5,373.25,374.5,374.5,96243
2018-12-28,374.5,377.5,374.5,375.5,375.5,89172
2018-12-31,375.5,377.0,372.75,375.0,375.0,91126
2019-01-02,375.25,377.75,374.0,375.75,375.75,104724
2019-01-03,375.5,380.5,374.75,379.75,379.75,101460
2019-01-04,380.0,383.5,379.75,383.0,383.0,178171
2019-01-07,382.25,384.0,381.75,382.25,382.25,110623
2019-01-08,382.5,384.5,379.0,380.0,380.0,172291
2019-01-09,380.5,383.5,380.5,382.0,382.0,192055
2019-01-10,381.5,382.75,376.0,376.25,376.25,181392
2019-01-11,377.0,379.25,376.75,378.25,378.25,131815
2019-01-14,378.5,381.0,377.0,378.5,378.5,144739
2019-01-15,379.5,381.0,371.0,371.25,371.25,251255
